ID	Host_Optatus	Unrelated	IDNum	HostParents	HostParentShort	HostCommon	EggGens	EggClade	Gens	GensEvidence	Species	Species_Latin	Shape	SpeciesShort	Sex	Plumage	MeanCoverage	MedianCoverage	Coverage_mtDNA	Coverage_Ratio_mtDNAAutosomes	Raw_Reads_M	Mapped_Reads_M	Percent_Reads_Mapped	Raw_Bases_Gb	Mapped_Bases_Gb	Bases_Mapped_Percent	Latitude	Longitude	Age	Source	Sampling_Year	Country	Habitat	Hap
212_CB_GBC_CHN_F	1	0	212	Saxicola_ferreus	S. ferreus	Grey Bushchat	S. ferreus	E1	pure_blue	Observed	Common cuckoo	C. c. bakeri	22	CC	F	Missing	14.23	12	47.9	3.504023409	141.226906	139.924586	0.990778528	21.1840359	20.9517072	0.989032841	26.16666667	105.4	Young	Blood	2019	CHN	Edge	W2
213_CB_GBC_CHN_F	1	1	213	Saxicola_ferreus	S. ferreus	Grey Bushchat	S. ferreus	E1	pure_blue	Observed	Common cuckoo	C. c. bakeri	22	CC	F	Missing	20.37	18	64.59	3.285350966	218.463116	216.352286	0.99033782	32.7694674	32.3750897	0.987965087	26.16666667	105.4	Young	Blood	2020	CHN	Edge	W2
214_CB_GBC_CHN_F	1	0	214	Saxicola_ferreus	S. ferreus	Grey Bushchat	S. ferreus	E1	pure_blue	Observed	Common cuckoo	C. c. bakeri	22	CC	F	Missing	13.41	12	53.44	4.227848101	134.550342	133.365332	0.991192813	20.1825513	19.97125028	0.98953051	26.16666667	105.4	Young	Blood	2020	CHN	Edge	W2
215_CB_GBC_CHN_F	1	0	215	Saxicola_ferreus	S. ferreus	Grey Bushchat	S. ferreus	E1	pure_blue	Observed	Common cuckoo	C. c. bakeri	22	CC	F	Missing	14.32	12	74.6	5.425454545	144.595588	143.402716	0.991750288	21.6893382	21.45524935	0.989207192	26.16666667	105.4	Young	Blood	2020	CHN	Edge	W2
216_CB_GBC_CHN_F	1	0	216	Saxicola_ferreus	S. ferreus	Grey Bushchat	S. ferreus	E1	pure_blue	Observed	Common cuckoo	C. c. bakeri	22	CC	F	Missing	17.34	16	86.32	5.116775341	182.808058	181.295904	0.991728187	27.4212087	27.1314442	0.989432833	26.16666667	105.4	Young	Blood	2020	CHN	Edge	W2
217_CB_ASC_CHN_F	1	1	217	Saxicola_maurus	S. maurus	Siberian Stonechat	S. maurus	E1	NA	HostParents	Common cuckoo	C. c. bakeri	22	CC	F	Missing	13.41	12	29.53	2.35111465	138.160284	137.00894	0.991666607	20.7240426	20.51385525	0.989857802	26.16666667	105.4	Young	Blood	2020	CHN	Edge	W3
218_CC_IBS_CHN_M	1	1	218	Lanius_isabellinus	L. isabellinus	Isabelline Shrike	L. isabellinus	E8	white_with_spots	Observed	Common cuckoo	C. c. canorus	21	CC	M	Missing	13.35	12	1415.01	114.8547078	138.190028	135.05039	0.977280285	20.7285042	20.22197996	0.975563879	44.28333333	87.86666667	Young	Tissue	2020	CHN	Savannas	W5
219_CC_IBS_CHN_F	1	1	219	Lanius_isabellinus	L. isabellinus	Isabelline Shrike	L. isabellinus	E8	white_with_spots	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	12.91	12	1882.71	158.6107835	138.793558	131.688996	0.948812019	20.8190337	19.71825524	0.947126343	44.28333333	87.86666667	Young	Tissue	2020	CHN	Savannas	W6
225_CC_IBS_CHN_F	1	1	225	Lanius_isabellinus	L. isabellinus	Isabelline Shrike	L. isabellinus	E8	NA	HostParents	Common cuckoo	C. c. canorus	21	CC	F	Missing	14.03	13	1004.43	78.40983607	154.122902	145.436998	0.943643003	23.1184353	21.77535497	0.941904359	44.28333333	87.86666667	Young	Tissue	2020	CHN	Savannas	W5
227_CC_IBS_CHN_M	1	1	227	Lanius_isabellinus	L. isabellinus	Isabelline Shrike	L. isabellinus	E8	NA	HostParents	Common cuckoo	C. c. canorus	21	CC	M	Missing	10.35	9	6302.91	667.6811441	142.990808	106.919474	0.747736694	21.4486212	16.00418537	0.746163831	44.28333333	87.86666667	Young	Tissue	2020	CHN	Savannas	W5
