ID	Hap	KDist	Gens	Habitat	KCluster
284_CC_UNK_RUS_M	W7	D14	NA	NA	K3
285_CC_UNK_RUS_F	W7	D14	NA	NA	K3
408_CC_TBW_RUS_F	W7	D14	NA	NA	K5
290_CC_UNK_RUS_M	W7	D7	NA	NA	K3
058_CC_COR_BGR_F	W7	D4	NA	Croplands	K2
056_CC_COR_BGR_F	W7	D4	NA	Croplands	K2
059_CC_COR_BGR_M	W7	D4	E. calandra	Croplands	K2
061_CC_GRW_BGR_F	W7	D4	A. arundinaceus	Croplands	K2
062_CC_GRW_BGR_F	W7	D4	A. arundinaceus	Croplands	K2
063_CC_GRW_BGR_F	W7	D4	A. arundinaceus	Croplands	K2
064_CC_GRW_BGR_M	W7	D4	A. arundinaceus	Croplands	K2
066_CC_GRW_BGR_F	W7	D4	A. arundinaceus	Croplands	K2
070_CC_GRW_BGR_F	W7	D4	A. arundinaceus	Croplands	K2
078_CC_MSH_BGR_M	W7	D4	A. palustris	Croplands	K2
145_CC_GRW_BGR_M	W7	D4	A. arundinaceus	Croplands	K2
102_CC_ERW_SPA_F	W7	D6	A. scirpaceus	Croplands	K4
013_CC_GRW_HUN_F	W7	D4	A. arundinaceus	Croplands	K2
014_CC_GRW_HUN_F	W7	D4	A. arundinaceus	Croplands	K2
017_CC_GRW_HUN_F	W7	D4	A. arundinaceus	Croplands	K2
018_CC_GRW_HUN_M	W7	D4	A. arundinaceus	Croplands	K2
096_CC_GRW_HUN_F	W7	D4	A. arundinaceus	Croplands	K2
417_CC_GRW_HUN_F	W7	D4	NA	Croplands	K2
418_CC_GRW_HUN_F	W7	D4	NA	Croplands	K2
419_CC_GRW_HUN_F	W7	D4	NA	Croplands	K2
422_CC_GRW_HUN_F	W7	D4	NA	Croplands	K2
423_CC_GRW_HUN_F	W7	D4	NA	Croplands	K2
424_CC_GRW_HUN_F	W7	D4	NA	Croplands	K2
428_CC_GRW_HUN_F	W7	D4	NA	Croplands	K2
304_CC_UNK_RUS_F	W7	D1	NA	Forest	K2
150_CC_GRW_CZE_F	W7	D4	NA	Wetlands	K2
151_CC_GRW_CZE_F	W7	D4	NA	Wetlands	K2
157_CC_GRW_CZE_M	W7	D4	NA	Wetlands	K2
082_CC_ERW_CZE_F	W7	D4	NA	Forest	K2
138_CC_UNK_BLR_M	W7	D2	NA	NA	K2
297_CC_UNK_RUS_M	W7	D8	NA	NA	K2
083_CC_ERW_DEU_M	W7	D4	NA	Savannas	K2
281_CC_UNK_RUS_M	W7	D1	NA	NA	K2
140_CC_UNK_BLR_M	W7	D2	NA	NA	K2
098_CC_ERW_POL_M	W7	D4	A. scirpaceus	Savannas	K2
274_CC_UNK_BLR_M	W7	D2	NA	NA	K2
278_CC_UNK_RUS_F	W7	D1	NA	NA	K2
124_CC_UNK_ENG_M	W7	D9	NA	NA	K4
303_CC_UNK_RUS_M	W7	D2	NA	Forest	K2
113_CC_UNK_ENG_F	W7	D9	NA	NA	K4
116_CC_UNK_ENG_M	W7	D9	NA	NA	K4
121_CC_UNK_ENG_M	W7	D9	NA	NA	K4
114_CC_UNK_ENG_M	W7	D9	NA	NA	K4
126_CC_UNK_ENG_M	W7	D9	NA	NA	K4
127_CC_UNK_ENG_M	W7	D9	NA	NA	K4
136_CC_UNK_ENG_M	W7	D9	NA	NA	K4
118_CC_UNK_ENG_M	W7	D9	NA	NA	K4
125_CC_UNK_ENG_M	W7	D9	NA	NA	K4
037_CC_ERW_DNK_M	W7	D12	A. scirpaceus	Savannas	K4
038_CC_ERW_DNK_F	W7	D12	A. scirpaceus	Croplands	K4
039_CC_ERW_DNK_F	W7	D12	A. scirpaceus	Croplands	K4
120_CC_UNK_ENG_F	W7	D9	NA	NA	K4
130_CC_UNK_ENG_M	W7	D9	NA	NA	K4
134_CC_UNK_ENG_M	W7	D9	NA	NA	K4
135_CC_UNK_ENG_M	W7	D9	NA	NA	K4
131_CC_UNK_ENG_M	W7	D9	NA	NA	K4
132_CC_UNK_ENG_M	W7	D9	NA	NA	K4
133_CC_UNK_ENG_M	W7	D9	NA	NA	K4
034_CC_MPT_NOR_F	W7	D12	An. Pratensis	Savannas	K2
035_CC_MPT_NOR_F	W7	D12	An. Pratensis	Savannas	K4
036_CC_MPT_NOR_F	W7	D12	An. Pratensis	Savannas	K4
030_CC_MPT_NOR_F	W7	D12	An. Pratensis	Shrublands	K4
032_CC_MPT_NOR_M	W7	D12	An. Pratensis	Shrublands	K4
033_CC_MPT_NOR_M	W7	D12	An. Pratensis	Shrublands	K2
031_CC_MPT_SWE_F	W7	D5	An. Pratensis	Savannas	K2
