#IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
189_CC_ORW_CHN_F	0.0920192	0.0135391	-0.0430286	-0.103967	-0.113144	0.0314486	0.0759999	-0.00422124	-0.0225476	0.00383137
193_CC_ORW_CHN_F	0.0872996	0.0201107	-0.0271798	-0.0633485	-0.0789282	0.0142262	0.040111	-0.00383725	-0.00668175	0.0114059
194_CC_ORW_CHN_F	0.0923257	0.0233797	-0.0533496	-0.116681	-0.124027	0.0368936	0.0729154	-0.001778	-0.0219414	0.0107183
195_CC_ORW_CHN_F	0.0919933	0.0124882	-0.0438981	-0.101949	-0.110324	0.0356378	0.0726398	0.00230992	-0.0206906	0.00624598
196_CC_ORW_CHN_F	0.0899632	0.0128547	-0.0350269	-0.0860488	-0.0960125	0.0233394	0.0606724	0.000970522	-0.020553	0.00127774
197_CC_ORW_CHN_F	0.0897129	0.0172303	-0.038922	-0.0935823	-0.0966651	0.0301489	0.0596441	-0.00372647	-0.0221378	0.00684472
199_CC_ORW_CHN_F	0.0929276	0.0227101	-0.0543682	-0.123614	-0.130444	0.0361739	0.074494	-0.000323519	-0.0227953	0.0104184
200_CC_ORW_CHN_F	0.0906859	0.0212458	-0.0430625	-0.0903894	-0.0954393	0.0254456	0.0453937	-0.00685964	-0.0149012	0.00317691
202_CC_ORW_CHN_F	0.0911729	0.0180721	-0.0401862	-0.0986594	-0.0997637	0.0317526	0.0556228	-0.00189123	-0.00867674	0.00255431
205_CC_ORW_CHN_F	0.0906454	0.0599087	-0.0475276	-0.0595636	-0.0406854	0.0128229	-0.0497957	-0.00462115	0.0231072	-0.00582721
206_CC_ORW_CHN_F	0.0918599	0.0224665	-0.0464652	-0.104594	-0.101363	0.0400862	0.0620283	-0.00833185	-0.0143154	0.00742405
207_CC_ORW_CHN_F	0.0939196	0.0140801	-0.0480693	-0.115273	-0.118672	0.0402434	0.0729601	0.00461	-0.0249517	0.00924231
208_CC_ORW_CHN_F	0.0926439	0.0203461	-0.0467008	-0.105768	-0.108732	0.0379124	0.055448	-0.00640822	-0.010779	0.00464099
215_CB_GBC_CHN_F	0.062028	0.243265	0.0177781	0.106786	0.111585	-0.0578543	0.0847999	-0.00489396	-0.0964893	0.0197114
216_CB_GBC_CHN_F	0.0632097	0.244279	0.0136555	0.112135	0.109429	-0.0579839	0.0882815	-0.0021727	-0.0987314	0.0230936
217_CB_ASC_CHN_F	0.0645828	0.238621	0.0130756	0.109078	0.112603	-0.0624151	0.0856241	-0.00323817	-0.0908516	0.0244389
218_CC_IBS_CHN_M	0.00685791	0.0943108	0.168705	0.122265	-0.0239481	0.113782	0.161403	0.0202026	0.317813	-0.0809759
225_CC_IBS_CHN_F	0.0082123	0.0945074	0.173803	0.12246	-0.0195398	0.116592	0.169383	0.0244653	0.329085	-0.0801732
230_CB_ASC_CHN_M	0.0639885	0.246676	0.0138933	0.114492	0.114377	-0.0637215	0.101383	-0.00536875	-0.101295	0.0283935
231_CC_ORW_CHN_F	0.0912866	0.0185866	-0.0411749	-0.0901451	-0.0997398	0.0335707	0.0556761	-0.00430182	-0.0210454	0.00524419
232_CC_ORW_CHN_M	0.0909459	0.0169333	-0.0407027	-0.0873252	-0.0964198	0.0281919	0.0557641	-0.00296461	-0.0142616	0.0045547
238_CC_ORW_CHN_F	0.0908582	0.0207631	-0.0398808	-0.0837213	-0.081907	0.0193559	0.0326542	-0.0012609	-0.0123256	-0.00160261
240_CC_ORW_CHN_M	0.0916153	0.0350453	-0.0473784	-0.0953902	-0.0917258	0.034367	0.0367553	-0.0033024	-0.0073676	0.00680216
242_CC_ORW_CHN_F	0.0878155	0.0121922	-0.0324041	-0.0791276	-0.0907413	0.0201472	0.0479342	-0.000287537	-0.0177417	0.000751313
244_CC_ORW_CHN_M	0.0905351	0.0130372	-0.0382999	-0.0892839	-0.0934358	0.029902	0.0567125	-0.0030398	-0.011049	0.00167055
250_CC_MWB_RUS_M	0.0940372	-0.0461109	-0.0205016	-0.00016761	0.033674	0.0149364	0.016505	0.00706994	-0.00325308	-0.0142385
252_CC_SRT_RUS_F	-0.000805092	-0.0163485	0.0995561	0.0508506	-0.0515245	0.0314431	-0.0137181	0.019602	0.0397789	-0.0117723
255_CC_SRT_RUS_M	0.0018892	-0.01994	0.105871	0.0555941	-0.05614	0.0372751	-0.0150715	0.0250293	0.0471425	-0.00886434
256_CC_SRT_RUS_F	-0.000517267	-0.0163256	0.107234	0.0582171	-0.0629657	0.0381398	-0.02042	0.0218728	0.0466247	-0.00324287
259_CC_SRT_RUS_F	0.0917123	-0.0967277	0.00645509	0.0394602	0.0801852	0.00522974	-0.002529	-0.00530747	0.000328185	-0.00455735
260_CC_SRT_RUS_F	0.0914247	-0.0972412	0.00739656	0.0436826	0.0814289	0.00313871	-0.010621	-0.00144404	-0.00236509	0.000563274
261_CC_BFB_RUS_F	0.108892	-0.144395	-0.0380004	0.026837	0.197076	0.0951181	0.00625504	0.00764494	-0.00321064	0.00651195
262_CC_BFB_RUS_M	0.0915927	-0.0992022	0.00588593	0.0382406	0.0827453	0.00864805	-0.000749886	-0.00147502	0.00476791	-0.00045058
264_CC_DRD_RUS_M	0.0953092	-0.0537235	-0.0200511	-0.00618421	0.0331075	0.0223086	0.0316095	-0.000352917	-0.000646268	-0.0124204
267_CC_DRD_RUS_M	0.0957081	-0.0541197	-0.0217619	-0.00571648	0.0334684	0.020519	0.0261731	0.00483062	-0.00207471	-0.00866737
269_CC_TBW_RUS_F	0.0916318	-0.0390521	-0.00498556	0.000316772	0.0129811	0.000630483	0.00876082	0.00292892	0.00124158	0.00143582
270_CC_TBW_RUS_F	0.0910822	-0.0375284	-0.00321026	-0.000225608	0.0049031	-0.00711411	0.0140393	-0.00136715	-0.00573413	-0.000472691
272_CC_TBW_RUS_F	0.0896684	-0.0366858	-0.00388637	-0.00271179	0.00836598	-0.0018385	0.00974718	-0.00267886	0.00217619	0.00665098
273_CC_TBW_RUS_F	0.0904646	-0.0288533	-0.0092552	-0.0158938	-0.00566863	0.00557567	0.0194463	-0.00554373	-0.00333892	0.00286358
274_CC_UNK_BLR_M	-0.048755	-0.00336926	0.0335355	0.0291392	-0.0299804	0.047617	-0.0253763	0.020207	0.0202315	-0.000576674
275_CC_UNK_RUS_M	-0.0234006	0.0489766	0.124767	0.059069	-0.0232833	0.0885121	0.0597743	-0.0325611	0.139203	-0.0447323
276_CC_UNK_RUS_F	0.0801695	-0.0829002	0.0749842	0.0778543	-0.0707809	-0.174852	-0.044616	-0.0221032	-0.0113609	-0.00562792
277_CC_UNK_RUS_F	0.0902164	-0.107486	0.0845988	0.100106	-0.0842304	-0.246287	-0.0656554	-0.0342016	-0.0203159	0.00289319
278_CC_UNK_RUS_F	-0.04828	-0.00301345	0.0333859	0.0320909	-0.0311559	0.0484881	-0.0200917	0.0266035	-0.0017342	-0.00187379
279_CC_UNK_RUS_F	-0.0334254	-0.0107375	0.0475015	0.0393464	-0.0359881	0.0384481	-0.0242832	0.0282596	0.0145846	0.00298436
280_CC_UNK_RUS_F	-0.0490361	-0.00495338	0.0302522	0.0357049	-0.027945	0.0458609	-0.0228848	0.0344289	-0.00519297	-0.00169594
281_CC_UNK_RUS_M	-0.00748734	-0.0154248	0.0879303	0.0511232	-0.0488441	0.0348524	-0.0131258	0.0239954	0.0389416	-0.0236856
282_CC_UNK_RUS_M	0.0893994	-0.106318	0.0876083	0.0983409	-0.0846391	-0.248157	-0.0626691	-0.0330417	-0.020494	0.00666106
283_CC_UNK_RUS_F	0.0913017	-0.0355435	-0.00588454	8.61518e-05	0.00123229	-0.00817953	0.0125057	-0.000524031	-0.00241626	0.00133411
284_CC_UNK_RUS_M	0.0905876	-0.0360975	-0.00601102	0.00133421	0.00481637	0.00275278	0.0166799	-4.99642e-05	-0.00125887	0.000672349
285_CC_UNK_RUS_F	0.0890773	-0.0365693	-0.0012711	0.00526131	0.00398684	-0.0052632	0.00562665	-0.00328349	-0.00148501	-0.000113857
286_CC_UNK_RUS_F	0.0980583	-0.0553243	-0.0315462	-0.0149712	0.0516046	0.0430578	0.0179003	0.00266447	-0.000343395	0.00607624
287_CC_UNK_RUS_M	-0.0455884	0.00379556	0.0660228	0.0118782	-0.0152746	0.0584335	-0.0144349	-0.0358524	0.0328155	-0.0143223
289_CC_UNK_RUS_M	0.106483	-0.144419	-0.0318055	0.0350141	0.190281	0.0853825	0.00984771	0.0113967	0.0025185	0.00470344
290_CC_UNK_RUS_M	0.104255	-0.147405	-0.0315176	0.037508	0.199066	0.0906848	0.0109154	0.0137675	0.000465337	0.000898664
291_CC_UNK_RUS_F	0.109434	-0.150807	-0.0402726	0.0323724	0.206363	0.0969505	0.00307357	0.0092109	0.00352481	0.00613532
292_CC_UNK_RUS_M	0.104569	-0.1377	-0.029005	0.034595	0.182085	0.0865492	0.00396294	0.00356663	0.00664954	0.00186537
293_CC_UNK_RUS_M	0.108728	-0.149886	-0.0397886	0.0299676	0.206406	0.0977128	0.00610002	0.00906209	0.00228193	0.000464851
294_CC_UNK_RUS_F	0.101277	-0.123406	-0.0161635	0.0344331	0.14922	0.0597813	0.00337752	0.00885144	0.00335164	-0.000285696
295_CC_UNK_RUS_F	0.11078	-0.155752	-0.0487011	0.0258902	0.217412	0.11213	0.0126889	0.0120669	0.00783798	-0.0026767
296_CC_UNK_RUS_M	0.0900312	-0.0902979	0.00996005	0.0367029	0.0667217	-0.00289498	-0.00924758	-0.00248801	-0.000465035	-0.00148615
