Model	Iteration	Variable	Type	Subsampled	MinObs	decay	logLoss	logLossSD	AUC	Accuracy	AccuracySD	Kappa
m4	1	Gens	Median	3.5	2	0	1.44434662434076	1.48111107579251	0.95559505001649	0.764610814022579	0.0737140123186466	0.719844731611782
m4	1	Gens	Median	3.5	2	1e-04	0.648061178650707	0.368700958476129	0.971535971839764	0.733297682709447	0.0268749248723428	0.684365586867642
m4	1	Gens	Median	3.5	2	0.1	0.757210550952317	0.121127215757126	0.969199550091578	0.701330956625074	0.036136044619245	0.64682033298448
m5	1	Gens	Median	3.5	2	0	1.6623075376012	0.770422996293583	0.874151653085477	0.467836257309941	0.0347818048344162	0.35586137368223
m5	1	Gens	Median	3.5	2	1e-04	1.34672258872459	0.302554515429536	0.870447949381773	0.544663742690058	0.0313991558560909	0.447684836579152
m5	1	Gens	Median	3.5	2	0.1	1.37362486245351	0.0868856403590886	0.866415467702232	0.555190058479532	0.0494178539204722	0.458655364917273
m6	1	Gens	Median	3.5	2	0	1.70810666093957	1.81817820236842	0.951122291673182	0.678724630202958	0.0560066497096573	0.619539727999559
m6	1	Gens	Median	3.5	2	1e-04	0.803507227695264	0.436294163154348	0.950586577387468	0.700489336085311	0.0336928134318658	0.645334301642969
m6	1	Gens	Median	3.5	2	0.1	0.80195374134615	0.113862807538106	0.944056426252053	0.720489336085311	0.0247131315840172	0.668250118316436
m7	1	Gens	Median	3.5	2	0	1.44464823143156	1.07274532659571	0.925307517216186	0.705947712418301	0.105803751184877	0.647420537724865
m7	1	Gens	Median	3.5	2	1e-04	0.84142842587098	0.256568808006875	0.939890850549519	0.707712418300654	0.0857161571759266	0.649478178630078
m7	1	Gens	Median	3.5	2	0.1	0.997830267877618	0.101950843391015	0.941140850549519	0.697712418300654	0.0744316468884338	0.637608742428297
m1	1	Habitat	Minimum	3	2	0	9.08994775746856	7.15002483403874	0.75	0.466666666666667	0.361324723144647	0.156593406593407
m1	1	Habitat	Minimum	3	2	1e-04	2.39751475643309	1.87895688797805	0.8125	0.466666666666667	0.361324723144647	0.156593406593407
m1	1	Habitat	Minimum	3	2	0.1	1.17318867334717	0.714918730299156	0.770833333333333	0.466666666666667	0.361324723144647	0.156593406593407
