Accuracy	Null	Model	Iteration	Variable	AIC	Type	Subsampled	MinObs
0.790697674418605	0.116279069767442	m4	1	Gens	228.015331007414	Median	5	3
0.465116279069767	0.116279069767442	m5	1	Gens	183.759319100526	Median	5	3
0.720930232558139	0.116279069767442	m6	1	Gens	224.312991257694	Median	5	3
0.651162790697674	0.116279069767442	m7	1	Gens	196.51451243343	Median	5	3
0.933333333333333	0.2	m1	1	Habitat	75.8190850352586	Minimum	3	3
0.933333333333333	0.2	m2	1	Habitat	67.819085030982	Minimum	3	3
0.6	0.2	m3	1	Habitat	61.6975648583286	Minimum	3	3
0.866666666666667	0.2	m4	1	Habitat	71.6381700590142	Minimum	3	3
0.666666666666667	0.2	m5	1	Habitat	59.775021378072	Minimum	3	3
0.933333333333333	0.2	m6	1	Habitat	75.8190850325348	Minimum	3	3
0.8	0.2	m7	1	Habitat	66.5492017816449	Minimum	3	3
0.833333333333333	0.1	m1	1	Gens	249.589036128464	Minimum	3	3
0.833333333333333	0.1	m2	1	Gens	214.635532444837	Minimum	3	3
0.5	0.1	m3	1	Gens	143.04608636228	Minimum	3	3
0.766666666666667	0.1	m4	1	Gens	186.273702590182	Minimum	3	3
0.433333333333333	0.1	m5	1	Gens	156.321783634634	Minimum	3	3
0.666666666666667	0.1	m6	1	Gens	214.147112030261	Minimum	3	3
0.6	0.1	m7	1	Gens	183.012693351379	Minimum	3	3
0.870967741935484	0.338709677419355	m1	1	Habitat	122.022193088435	Median	21.5	5
0.870967741935484	0.338709677419355	m2	1	Habitat	116.022192986891	Median	21.5	5
0.693548387096774	0.338709677419355	m3	1	Habitat	122.941005961789	Median	21.5	5
0.82258064516129	0.338709677419355	m4	1	Habitat	110.04872380776	Median	21.5	5
0.548387096774194	0.338709677419355	m5	1	Habitat	135.482960085118	Median	21.5	5
0.774193548387097	0.338709677419355	m6	1	Habitat	112.878381432264	Median	21.5	5
0.774193548387097	0.338709677419355	m7	1	Habitat	111.601463403839	Median	21.5	5
0.909090909090909	0.204545454545455	m1	1	Gens	125.302342070219	Median	9	5
0.909090909090909	0.204545454545455	m2	1	Gens	117.198883592787	Median	9	5
0.75	0.204545454545455	m3	1	Gens	99.2151487372878	Median	9	5
0.818181818181818	0.204545454545455	m4	1	Gens	109.049269690841	Median	9	5
0.545454545454545	0.204545454545455	m5	1	Gens	119.750714583542	Median	9	5
0.886363636363636	0.204545454545455	m6	1	Gens	102.564033785205	Median	9	5
0.886363636363636	0.204545454545455	m7	1	Gens	94.4606700841849	Median	9	5
0.958333333333333	0.25	m1	1	Habitat	68.7725887455509	Minimum	6	5
0.958333333333333	0.25	m2	1	Habitat	62.7725887492757	Minimum	6	5
0.666666666666667	0.25	m3	1	Habitat	63.046291236146	Minimum	6	5
0.916666666666667	0.25	m4	1	Habitat	67.2712699405199	Minimum	6	5
0.583333333333333	0.25	m5	1	Habitat	66.2981132470182	Minimum	6	5
0.791666666666667	0.25	m6	1	Habitat	59.1766856876599	Minimum	6	5
0.791666666666667	0.25	m7	1	Habitat	56.0877173148992	Minimum	6	5
0.9	0.166666666666667	m1	1	Gens	111.734141357211	Minimum	5	5
0.866666666666667	0.166666666666667	m2	1	Gens	104.564737793673	Minimum	5	5
0.7	0.166666666666667	m3	1	Gens	80.6144922591555	Minimum	5	5
