Prediction	Reference	Freq	Model	Iteration	Variable	Subsample	MinObs	AUC	logloss	Accuracy	AccuracySD
ECO2	ECO3	0	m3	1	Egg	4	2	0.5763099669994	1.77709118192789	0.242659812409812	0.172219683538085
ECO3	ECO3	2	m3	1	Egg	4	2	0.5763099669994	1.77709118192789	0.242659812409812	0.172219683538085
ECO4	ECO3	0	m3	1	Egg	4	2	0.5763099669994	1.77709118192789	0.242659812409812	0.172219683538085
ECO1	ECO4	2	m3	1	Egg	4	2	0.5763099669994	1.77709118192789	0.242659812409812	0.172219683538085
ECO2	ECO4	0	m3	1	Egg	4	2	0.5763099669994	1.77709118192789	0.242659812409812	0.172219683538085
ECO3	ECO4	0	m3	1	Egg	4	2	0.5763099669994	1.77709118192789	0.242659812409812	0.172219683538085
ECO4	ECO4	2	m3	1	Egg	4	2	0.5763099669994	1.77709118192789	0.242659812409812	0.172219683538085
ECO1	ECO1	4	m4	1	Egg	4	2	0.700565159574468	1.51792300633617	0.290837301587302	0.162478294994344
ECO2	ECO1	0	m4	1	Egg	4	2	0.700565159574468	1.51792300633617	0.290837301587302	0.162478294994344
ECO3	ECO1	0	m4	1	Egg	4	2	0.700565159574468	1.51792300633617	0.290837301587302	0.162478294994344
ECO4	ECO1	0	m4	1	Egg	4	2	0.700565159574468	1.51792300633617	0.290837301587302	0.162478294994344
ECO1	ECO2	3	m4	1	Egg	4	2	0.700565159574468	1.51792300633617	0.290837301587302	0.162478294994344
ECO2	ECO2	0	m4	1	Egg	4	2	0.700565159574468	1.51792300633617	0.290837301587302	0.162478294994344
ECO3	ECO2	1	m4	1	Egg	4	2	0.700565159574468	1.51792300633617	0.290837301587302	0.162478294994344
