Model	Iteration	Variable	Subsampled	MinObs	decay	logLoss	logLossSD	AIC	AUC	Accuracy	AccuracySD	Kappa
m2	5	Egg	2	2	0.1	1.20790863136617	0.384819349724496	82.0983069960319	0.851418439716312	0.422214285714286	0.232184461189713	0.325706405095606
m3	5	Egg	2	2	0.1	1.6563614055609	0.223259862334025	54.5610293364934	0.73968253968254	0.129166666666667	0.149866663521334	0.0557840249051886
m4	5	Egg	2	2	0.1	1.31629043405389	0.310045014084565	84.961164453394	0.879059829059829	0.3285	0.203467348340289	0.239139419754406
m5	5	Egg	2	2	0.1	1.70347586988182	0.295671773414579	72.3499038547827	0.728333333333333	0.226190476190476	0.165522770028137	0.128296749825677
m6	5	Egg	2	2	0.1	1.17767533178222	0.303252759550437	83.8190850367133	0.892	0.38197619047619	0.23677127204162	0.282451266462487
m7	5	Egg	2	2	0.1	1.38665600992616	0.292886917495727	65.5451774954345	0.817251461988304	0.394916666666667	0.233429198080004	0.315068482242395
m1	6	Egg	2	2	0.1	1.01564693658944	0.364963531508878	66.5916737937873	0.90650406504065	0.486547619047619	0.218608363720207	0.394467743473972
m2	6	Egg	2	2	0.1	1.09027698729909	0.26787017385224	66.7624141994264	0.88768115942029	0.436333333333333	0.237591969315626	0.329535701510765
m3	6	Egg	2	2	0.1	1.61763099939755	0.206431743024271	54.5610293364934	0.749462365591398	0.117666666666667	0.141814044948153	0.0486234757219515
m4	6	Egg	2	2	0.1	1.30343339508598	0.333333663782731	56.5916737751929	0.847549019607843	0.371571428571429	0.212276621908733	0.281745739554563
m5	6	Egg	2	2	0.1	1.5716713218028	0.259741772758672	50.0991938741569	0.806746031746032	0.209166666666667	0.183576132458797	0.116996449333468
m6	6	Egg	2	2	0.1	1.10260465377233	0.430849098572187	57.638170074542	0.849007936507936	0.464666666666667	0.256927367709901	0.38088927015014
m7	6	Egg	2	2	0.1	1.11459176558596	0.349730369714554	57.6381700612678	0.898958333333333	0.399571428571429	0.235404074348428	0.324716206839938
m1	7	Egg	2	2	0.1	0.751556964797432	0.17678757598456	73.8190850307194	0.951754385964912	0.489714285714286	0.271502162964454	0.413450859050748
