Prediction	Reference	Freq	Model	Iteration	Variable	Subsample	MinObs	AUC	logloss	Accuracy	AccuracySD
ECO2	ECO4	0	m2	1	Egg	3	2	0.699102303523035	1.60536887870463	0.402928571428571	0.190692174023328
ECO3	ECO4	0	m2	1	Egg	3	2	0.699102303523035	1.60536887870463	0.402928571428571	0.190692174023328
ECO4	ECO4	3	m2	1	Egg	3	2	0.699102303523035	1.60536887870463	0.402928571428571	0.190692174023328
ECO1	ECO1	2	m3	1	Egg	3	2	0.397876291989664	2.00653648396795	0.0830952380952381	0.12617277776185
ECO2	ECO1	0	m3	1	Egg	3	2	0.397876291989664	2.00653648396795	0.0830952380952381	0.12617277776185
ECO3	ECO1	1	m3	1	Egg	3	2	0.397876291989664	2.00653648396795	0.0830952380952381	0.12617277776185
ECO4	ECO1	0	m3	1	Egg	3	2	0.397876291989664	2.00653648396795	0.0830952380952381	0.12617277776185
ECO1	ECO2	1	m3	1	Egg	3	2	0.397876291989664	2.00653648396795	0.0830952380952381	0.12617277776185
ECO2	ECO2	0	m3	1	Egg	3	2	0.397876291989664	2.00653648396795	0.0830952380952381	0.12617277776185
ECO3	ECO2	2	m3	1	Egg	3	2	0.397876291989664	2.00653648396795	0.0830952380952381	0.12617277776185
ECO4	ECO2	0	m3	1	Egg	3	2	0.397876291989664	2.00653648396795	0.0830952380952381	0.12617277776185
ECO1	ECO3	1	m3	1	Egg	3	2	0.397876291989664	2.00653648396795	0.0830952380952381	0.12617277776185
ECO2	ECO3	0	m3	1	Egg	3	2	0.397876291989664	2.00653648396795	0.0830952380952381	0.12617277776185
ECO3	ECO3	2	m3	1	Egg	3	2	0.397876291989664	2.00653648396795	0.0830952380952381	0.12617277776185
ECO4	ECO3	0	m3	1	Egg	3	2	0.397876291989664	2.00653648396795	0.0830952380952381	0.12617277776185
ECO1	ECO4	0	m3	1	Egg	3	2	0.397876291989664	2.00653648396795	0.0830952380952381	0.12617277776185
ECO2	ECO4	0	m3	1	Egg	3	2	0.397876291989664	2.00653648396795	0.0830952380952381	0.12617277776185
ECO3	ECO4	1	m3	1	Egg	3	2	0.397876291989664	2.00653648396795	0.0830952380952381	0.12617277776185
ECO4	ECO4	2	m3	1	Egg	3	2	0.397876291989664	2.00653648396795	0.0830952380952381	0.12617277776185
ECO1	ECO1	2	m4	1	Egg	3	2	0.54212962962963	1.68615054620275	0.218928571428571	0.185665986677052
ECO2	ECO1	1	m4	1	Egg	3	2	0.54212962962963	1.68615054620275	0.218928571428571	0.185665986677052
ECO3	ECO1	0	m4	1	Egg	3	2	0.54212962962963	1.68615054620275	0.218928571428571	0.185665986677052
ECO4	ECO1	0	m4	1	Egg	3	2	0.54212962962963	1.68615054620275	0.218928571428571	0.185665986677052
ECO1	ECO2	1	m4	1	Egg	3	2	0.54212962962963	1.68615054620275	0.218928571428571	0.185665986677052
ECO2	ECO2	2	m4	1	Egg	3	2	0.54212962962963	1.68615054620275	0.218928571428571	0.185665986677052
ECO3	ECO2	0	m4	1	Egg	3	2	0.54212962962963	1.68615054620275	0.218928571428571	0.185665986677052
ECO4	ECO2	0	m4	1	Egg	3	2	0.54212962962963	1.68615054620275	0.218928571428571	0.185665986677052
