Model	Iteration	Variable	Subsampled	MinObs	decay	logLoss	logLossSD	AIC	AUC	Accuracy	AccuracySD	Kappa
m2	4	Egg	3	2	0.1	1.10022908275365	0.299526358232089	42.8983140281293	0.857263404392765	0.397166666666667	0.23108652501314	0.26027534553569
m3	4	Egg	3	2	0.1	1.52966940165953	0.316356604622706	38.4549676700873	0.641525355297158	0.275761904761905	0.200416256397979	0.127634970998186
m4	4	Egg	3	2	0.1	1.44292039717131	0.384078064111284	42.2583980589133	0.716773200757576	0.334928571428571	0.205559331560364	0.180556256727385
m5	4	Egg	3	2	0.1	1.40564799523888	0.361618216046485	41.3961852085067	0.687450396825397	0.280857142857143	0.168298518428843	0.137050292344704
m6	4	Egg	3	2	0.1	1.00761799687139	0.394419046090153	42.8576317745982	0.886360941734417	0.439166666666667	0.237059888155695	0.310451878031704
m7	4	Egg	3	2	0.1	1.04276643672419	0.222453550529161	38.3177662451341	0.85874297752809	0.450595238095238	0.208414675249359	0.300417517351185
m1	5	Egg	3	2	0.1	1.0987605743467	0.431784390902224	57.5001298030012	0.853615196078431	0.609190476190476	0.250751868768281	0.49418498807986
m2	5	Egg	3	2	0.1	1.20963975125085	0.331823467399365	43.4484124187312	0.786669859514687	0.4455	0.224843816599601	0.298839400444223
m3	5	Egg	3	2	0.1	1.96977862959529	0.329972757301706	45.4790365351578	0.411188271604938	0.0702738095238095	0.117485110946538	-0.0610416348172045
m4	5	Egg	3	2	0.1	1.36606110743031	0.428658074122091	49.9537466232887	0.760128726287263	0.367619047619048	0.205184302067394	0.218110937415803
m5	5	Egg	3	2	0.1	1.1970337670883	0.340342127059456	38.1427601446873	0.808053188131313	0.404880952380952	0.199122647598744	0.253263657542225
m6	5	Egg	3	2	0.1	0.962972644621077	0.342789197467877	52.9130825483748	0.865604812661499	0.570666666666667	0.26900725880302	0.448387295722675
m7	5	Egg	3	2	0.1	1.02292025147851	0.338759149788231	36.2291828070249	0.842514054232804	0.501190476190476	0.247925149351907	0.355899985063999
m1	6	Egg	3	2	0.1	0.959831640753254	0.457671440131673	60.8446354268064	0.885346441947566	0.636880952380952	0.244560722470766	0.520134447077239
m2	6	Egg	3	2	0.1	1.00526963459402	0.389848867554783	56.7722378312126	0.860113346104725	0.582428571428571	0.233504511622723	0.462602233645921
m3	6	Egg	3	2	0.1	1.56582463057451	0.354860594101103	39.7740461711901	0.653562091503268	0.307357142857143	0.209438549872843	0.160419663774447
m4	6	Egg	3	2	0.1	1.38067548932331	0.403243879553548	56.1330000158383	0.717495265151515	0.318333333333333	0.216541887754526	0.160368795293207
m5	6	Egg	3	2	0.1	1.39842002188414	0.341592295048397	41.3961852085068	0.690222050754458	0.266904761904762	0.181438898126634	0.118130195140701
m6	6	Egg	3	2	0.1	0.893680970379294	0.442843940079943	41.5451774870792	0.887572873799726	0.564976190476191	0.232555145041917	0.429062376392098
m7	6	Egg	3	2	0.1	0.877973924981328	0.304750781864591	35.5451774877927	0.858537808641975	0.554261904761905	0.186502347096253	0.417211548855192
m1	7	Egg	3	2	0.1	1.18187724785517	0.528370971729192	45.8190850478327	0.831267146776406	0.513190476190476	0.250748991402443	0.389506842803514
