Model	Iteration	Variable	Subsampled	MinObs	decay	logLoss	logLossSD	AIC	AUC	Accuracy	AccuracySD	Kappa
m2	3	Egg	2	2	1e-04	0.830101590971479	0.514455637222819	117.779503230755	0.983838383838384	0.485309523809524	0.205568593690812	0.41659273824168
m3	3	Egg	2	2	0.1	1.54718644002127	0.183604196687862	106.561787397041	0.840190476190476	0.230071428571429	0.16614616896842	0.176857264927958
m4	3	Egg	2	2	0.1	1.37774030508208	0.413315947755153	119.638170068482	0.87148033126294	0.3715	0.185991949963806	0.308959756759439
m5	3	Egg	2	2	0.1	1.91696569069172	0.360069113575061	88.5914687915336	0.736243386243386	0.194535714285714	0.143892760486082	0.13074852658269
m6	3	Egg	2	2	0.1	1.35343908985057	0.249632817713887	111.340799262449	0.8921875	0.360138888888889	0.187183834038768	0.295840918728329
m7	3	Egg	2	2	0.1	1.35765959872671	0.180323404066077	123.022529097049	0.912345679012346	0.347392857142857	0.174999934148731	0.275071904440483
m1	4	Egg	2	2	0.1	1.51214616916509	0.313185092283007	158.033422425114	0.855102040816327	0.323226190476191	0.176931421678145	0.251383433988909
m2	4	Egg	2	2	0.1	1.37138596244931	0.331149781500874	145.81951582345	0.919264069264069	0.336170634920635	0.181372657334051	0.268195910238371
m3	4	Egg	2	2	0.1	1.79644206951478	0.274044373045418	117.775021355865	0.777813852813853	0.220035714285714	0.142190308238895	0.159358777624139
m4	4	Egg	2	2	0.1	1.60159448566497	0.256844391749173	158.186579689469	0.82010582010582	0.301599206349206	0.172512337160304	0.230405756639368
m5	4	Egg	2	2	0.1	2.21808463550565	0.308373900920214	100.185780158986	0.603383458646617	0.183190476190476	0.168995893420359	0.121464184975777
m6	4	Egg	2	2	0.1	1.73983300747817	0.304535659656251	137.45725508836	0.795408163265306	0.249063492063492	0.137994399887789	0.18633084635154
m7	4	Egg	2	2	0.1	1.73576255427778	0.24895288829233	115.00243257947	0.806666666666667	0.222	0.156193519075464	0.152201377052037
m1	5	Egg	2	2	0.1	1.11206824997568	0.314027960860563	154.000137329705	0.936479591836735	0.464690476190476	0.22545805699393	0.396704046861899
m2	5	Egg	2	2	0.1	1.30195162156401	0.322036916971154	131.828481256381	0.913541666666667	0.38825	0.19851747990827	0.326008963876642
m3	5	Egg	2	2	0.1	1.63031193174486	0.324176862657709	96.5631461850577	0.806609195402299	0.256059523809524	0.185513382085429	0.200133264762449
m4	5	Egg	2	2	0.1	1.55603889125862	0.353646688614631	156.718038077426	0.834567901234568	0.390007936507937	0.188862120224796	0.326367666189715
m5	5	Egg	2	2	0.1	2.0186563670341	0.291347958975373	97.2427422930145	0.743596059113301	0.182845238095238	0.1240271811907	0.117056151820276
m6	5	Egg	2	2	0.1	1.44103883024641	0.300793050070841	124.136851279717	0.875859788359788	0.307785714285714	0.195241645517293	0.23846031416326
m7	5	Egg	2	2	0.1	1.59789478977873	0.283885451378502	126.284151337538	0.85008210180624	0.266166666666667	0.16348516180672	0.192506757539877
m1	6	Egg	2	2	0.1	1.50648225349932	0.407902331267971	147.638170092179	0.796513605442177	0.36106746031746	0.162588683096006	0.289771098406288
m2	6	Egg	2	2	0.1	1.072025947126	0.307159751773741	121.364262534601	0.91780303030303	0.409261904761905	0.191571644023176	0.343669394627921
m3	6	Egg	2	2	0.1	1.54640582686994	0.275421651943642	106.744061108392	0.805145929339478	0.271988095238095	0.168404195828877	0.219003901594765
m4	6	Egg	2	2	0.1	1.69456293073376	0.343046964173865	136.410758843513	0.7625	0.291769841269841	0.171076019130004	0.217610030700317
m5	6	Egg	2	2	0.1	2.26701321189289	0.338272115846154	102.10832363406	0.606512605042017	0.155535714285714	0.152342653071591	0.0805223133937963
m6	6	Egg	2	2	0.1	1.48027360270255	0.409956589767095	126.229843856293	0.838505747126437	0.313539682539683	0.210119485961884	0.244248308354234
m7	6	Egg	2	2	0.1	1.4800119237935	0.211155034217149	101.00243257452	0.840079365079365	0.337178571428571	0.177489899025094	0.269959925467463
m1	7	Egg	2	2	0.1	1.85984768790361	0.373455446433791	170.006639502221	0.787213403880071	0.269948412698413	0.153297211874151	0.202726346975362
