ID	Contributor	Contributor_ID	SRA_Biosample	SRA_Accessions	Already_Released_SRA	Analysis_PopulationGenetics	Analysis_SNAPP	Analysis_GensAssociations	Analysis_GeneHunt	IDNum	Egg	EggCol	EggShape	EggOrder	HostParents	HostParentShort	HostCommon	Species	Species_Latin	Shape	SpeciesShort	Sex	Age	Source	Latitude	Longitude	CountryFull	HostColor	HostShape	Sampling_Year	GeographicGroup	GeoOrder	GeoShape	GeoColor	Haplogroup	HaplogroupColor	Habitat	AncestryA5	AncestryColor	MeanCoverage	MedianCoverage	Coverage_mtDNA	Coverage_Ratio_mtDNAAutosomes	Raw_Reads_M	Mapped_Reads_M	Percent_Reads_Mapped	Raw_Bases_Gb	Mapped_Bases_Gb	Bases_Mapped_Percent
033_CC_MPT_NOR_M	Frode Fossøy & Bård Stokke	278_MP_NOR07_23616	SAMN14427354	SRR11394260,SRR11394259,SRR11394258	Unreleased	1	0	0	0	033	NA	NA	8	16	Anthus_pratensis	An. pratensis	Meadow Pipit	Common cuckoo	C. c. canorus	21	CC	M	Adult	Blood	61.41666	8.8666	Norway	#30123BFF	17	2007	GCC3	3	23	#FFCF8D	MCC7	#33A02C	Shrublands	ACC4	#636363	15.88	16	52.3	3.303853443	193.846992	188.008344	0.969880121	19.57854619	18.98295027	0.969579155
034_CC_MPT_NOR_F	Frode Fossøy & Bård Stokke	299_MP_NOR09_7	SAMN14427355	SRR11394257,SRR11394256,SRR11394255	Unreleased	1	1	1	0	034	ECC8	#F0E442	22	8	Anthus_pratensis	An. pratensis	Meadow Pipit	Common cuckoo	C. c. canorus	21	CC	F	Young	Blood	61.23	10.71	Norway	#30123BFF	17	2009	GCC3	3	23	#FFCF8D	MCC7	#33A02C	Savannas	ACC4	#636363	20.58	21	345.52	16.85463415	251.165044	243.734782	0.970416815	25.36766944	24.60922324	0.970101857
035_CC_MPT_NOR_F	Frode Fossøy & Bård Stokke	300_MP_NOR10_2	SAMN14427356	SRR11394254,SRR11394253,SRR11394252	Unreleased	1	1	1	0	035	ECC8	#F0E442	22	8	Anthus_pratensis	An. pratensis	Meadow Pipit	Common cuckoo	C. c. canorus	21	CC	F	Young	Tissue	61.23	10.71	Norway	#30123BFF	17	2010	GCC3	3	23	#FFCF8D	MCC7	#33A02C	Savannas	ACC5	#252525	16.75	16	1307.36	78.33193529	205.945976	198.48872	0.963790232	20.80054358	20.04099652	0.963484269
036_CC_MPT_NOR_F	Frode Fossøy & Bård Stokke	301_MP_NOR13_1	SAMN14427357	SRR11394251,SRR11394249,SRR11394248	Unreleased	1	1	1	0	036	ECC8	#F0E442	22	8	Anthus_pratensis	An. pratensis	Meadow Pipit	Common cuckoo	C. c. canorus	21	CC	F	Young	Blood	61.23	10.71	Norway	#30123BFF	17	2013	GCC3	3	23	#FFCF8D	MCC7	#33A02C	Savannas	ACC5	#252525	19.46	19	128.49	6.63003096	238.601446	230.66498	0.966737561	24.09874605	23.28740455	0.966332626
037_CC_ERW_DNK_M	Frode Fossøy & Bård Stokke	303_RW_DEN_014	SAMN14427358	SRR11394247,SRR11394246,SRR11394245	Unreleased	1	0	1	0	037	ECC7	#DDCC77	21	7	Acrocephalus_scirpaceus	A. scirpaceus	Reed Warbler	Common cuckoo	C. c. canorus	21	CC	M	Young	Blood	55.903545	12.446721	Denmark	#46F884FF	17	2010	GCC3	3	23	#FFCF8D	MCC7	#33A02C	Savannas	ACC5	#252525	19.25	19	71.15	3.71152843	234.727132	227.607156	0.969667009	23.70744033	22.97726188	0.969200452
038_CC_ERW_DNK_F	Frode Fossøy & Bård Stokke	310_RW_DEN_049	SAMN14427359	SRR11394244,SRR11394243,SRR11394242	Unreleased	1	1	1	0	038	ECC7	#DDCC77	21	7	Acrocephalus_scirpaceus	A. scirpaceus	Reed Warbler	Common cuckoo	C. c. canorus	21	CC	F	Young	Blood	55.943159	11.590266	Denmark	#46F884FF	17	2010	GCC3	3	23	#FFCF8D	MCC7	#33A02C	Croplands	ACC5	#252525	16.43	16	62.44	3.82832618	200.032528	194.222838	0.970956274	20.20328533	19.60361786	0.970318319
039_CC_ERW_DNK_F	Frode Fossøy & Bård Stokke	312_RW_DEN_072	SAMN14427360	SRR11394240,SRR11394200,SRR11394198	Unreleased	1	1	1	0	039	ECC7	#DDCC77	21	7	Acrocephalus_scirpaceus	A. scirpaceus	Reed Warbler	Common cuckoo	C. c. canorus	21	CC	F	Young	Blood	56.098433	12.242479	Denmark	#46F884FF	17	2010	GCC3	3	23	#FFCF8D	MCC7	#33A02C	Croplands	ACC5	#252525	14.26	14	164.73	11.60887949	174.297346	168.724922	0.968029209	17.60403195	17.03266676	0.967543504
042_CC_GRW_HUN_F	Frode Fossøy & Bård Stokke	153_GRW_HUN07_118	SAMN14427363	SRR11394191,SRR11394190	Unreleased	1	1	1	1	042	ECC6	#D55E00	23	6	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	Common cuckoo	C. c. canorus	21	CC	F	Young	Blood	47.12	19.1	Hungary	#46F884FF	15	2007	GCC4	4	24	#FFB86D	MCC4	#FF7F00	Croplands	ACC4	#636363	69.67	66	876.09	15.37269696	855.36309	831.132496	0.971672154	86.39167209	83.8768768	0.970890767
043_CC_RED_FIN_F	Frode Fossøy & Bård Stokke	184_RED_FIN06_p21	SAMN14427364	SRR11394189,SRR11394187	Unreleased	1	1	1	1	043	ECC1	#88CCEE	21	1	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	Common cuckoo	C. c. canorus	21	CC	F	Young	Blood	61.42	28.53	Finland	#30123BFF	18	2006	GCC5	5	25	#FFA04E	MCC1	#A6CEE3	Forest	ACC4	#636363	68.06	64	190.29	3.431121529	846.644034	812.00922	0.959091646	85.51104743	81.95555198	0.95842063
053_CC_RED_FIN_F	Frode Fossøy & Bård Stokke	178_RED_FIN06_10	SAMN14427372	SRR11394303,SRR11394302,SRR11394179,SRR11531699	Unreleased	1	1	1	1	053	ECC1	#88CCEE	21	1	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	Common cuckoo	C. c. canorus	21	CC	F	Young	Blood	61.42	28.53	Finland	#30123BFF	18	2006	GCC5	5	25	#FFA04E	MCC1	#A6CEE3	Forest	ACC4	#636363	16.51	15	90.8	5.685660614	172.134508	170.959168	0.993171968	25.8201762	25.61299682	0.991976066
